figure_number,figure,relative_path,filename,title,question,source_artifacts,population,units,evaluation_status,training_evaluation_status,major_caveat,sha256,bytes,nominal_width_px,nominal_height_px,population_units_method_caveat_in_figure,population_units_status_caveat_visible,meaningful_explanatory_figure
51,figures/51_queries_to_tolerance_comparison.png,figures/51_queries_to_tolerance_comparison.png,51_queries_to_tolerance_comparison.png,Queries required to reach q20 error tolerance,"Which methods reach useful boundary error with fewer simulator queries, and how often?",queries_to_tolerance.csv,20 matched primary-common outer runs,simulator queries; reached-run fraction,held-out active-learning time-to-target summary,held-out active-learning time-to-target summary,unreached runs are not extrapolated or assigned an artificial query count; median queries alone must be read with reach fraction,948715fd01971d3aa8aa9c3eef497993447d1c90004e05518223d306774bdab0,173675,2340,990,True,True,True
52,figures/52_transient_keyhole_sensitivity.png,figures/52_transient_keyhole_sensitivity.png,52_transient_keyhole_sensitivity.png,Final-budget sensitivity for transient Keyhole cases,Which formulation retains sensitivity for held-out transient Keyhole cases?,subgroup_transient_persistent_results.csv,held-out manual-positive transient Keyhole cases at final budget,sensitivity fraction,held-out final-budget subgroup diagnostic,held-out final-budget subgroup diagnostic,small subgroup counts are reported per run and rows below the predeclared minimum n must not drive a strong conclusion,772b30d6a3c2cc76950b646eb2095ad76bb29f0974034691dbf7dfad4c36ddc7,118509,1980,972,True,True,True
53,figures/53_persistent_keyhole_sensitivity.png,figures/53_persistent_keyhole_sensitivity.png,53_persistent_keyhole_sensitivity.png,Final-budget sensitivity for persistent Keyhole cases,Which formulation retains sensitivity for held-out persistent Keyhole cases?,subgroup_transient_persistent_results.csv,held-out manual-positive persistent Keyhole cases at final budget,sensitivity fraction,held-out final-budget subgroup diagnostic,held-out final-budget subgroup diagnostic,small subgroup counts are reported per run and rows below the predeclared minimum n must not drive a strong conclusion,949a55d1bb8384befdfa54914a4e0492c50c24fe59e23591492b89e14f4539e8,119235,1980,972,True,True,True
54,figures/54_repeated_keyhole_sensitivity.png,figures/54_repeated_keyhole_sensitivity.png,54_repeated_keyhole_sensitivity.png,Final-budget sensitivity for repeated-Keyhole cases,Which formulation retains sensitivity for held-out repeated Keyhole cases?,subgroup_transient_persistent_results.csv,held-out manual-positive repeated Keyhole cases at final budget,sensitivity fraction,held-out final-budget subgroup diagnostic,held-out final-budget subgroup diagnostic,small subgroup counts are reported per run and rows below the predeclared minimum n must not drive a strong conclusion,66b53d52d213c22cdbb51819ecbca1c40e635317399cd46892026a959f3e0097,120309,1980,972,True,True,True
55,figures/55_keyhole_t0_timing_subgroup_sensitivity.png,figures/55_keyhole_t0_timing_subgroup_sensitivity.png,55_keyhole_t0_timing_subgroup_sensitivity.png,Final-budget sensitivity by saved-Keyhole timing relative to T0,Do formulation differences concentrate in specific pre/inside/post-T0 manual-positive subgroups?,subgroup_t0_timing_results.csv,held-out manual-positive T0 timing subgroups at final budget,sensitivity fraction,held-out final-budget subgroup diagnostic,held-out final-budget subgroup diagnostic,subgroup sample sizes vary and T0 groups are inherited unchanged; no post-hoc target or label redefinition is allowed,1e157635958e4cdda8f5b51ee49e806598d8dac3984d5520c25c966235592dea,84942,1890,1116,True,True,True
56,figures/56_domain_transfer_balanced_accuracy.png,figures/56_domain_transfer_balanced_accuracy.png,56_domain_transfer_balanced_accuracy.png,Secondary source-to-target balanced accuracy,Do source-trained Binary and Max-Depth models remain useful under old/new domain shift?,domain_transfer_model_summary.csv,predeclared disjoint source-to-target partition routes,balanced accuracy,secondary held-out domain-transfer stress test,secondary held-out domain-transfer stress test,"old-remote has very few Keyhole positives, so route estimates are descriptive and imprecise; transfer does not replace the combined-data benchmark",e2d42e479ca4f6e9475acc9ba85833f97a2081bedcee1959c59692a145f435fa,84212,1980,1044,True,True,True
57,figures/57_domain_transfer_q20_error.png,figures/57_domain_transfer_q20_error.png,57_domain_transfer_q20_error.png,Secondary source-to-target q20 boundary error,Do source-trained Binary and Max-Depth models remain useful under old/new domain shift?,domain_transfer_model_summary.csv,predeclared disjoint source-to-target partition routes,q20 misclassification fraction,secondary held-out domain-transfer stress test,secondary held-out domain-transfer stress test,"old-remote has very few Keyhole positives, so route estimates are descriptive and imprecise; transfer does not replace the combined-data benchmark",54a3bbd5f42de32fd18ba34eea6235b9a0f69a8e22712056cfddd42ed68c47d3,88429,1980,1044,True,True,True
58,figures/58_domain_transfer_max_depth_threshold_shift.png,figures/58_domain_transfer_max_depth_threshold_shift.png,58_domain_transfer_max_depth_threshold_shift.png,Maximum-depth threshold shift under partition transfer,How far does the valid source-only threshold lie from the unavailable target oracle reference?,domain_transfer_model_summary.csv,predeclared disjoint max-depth transfer routes,threshold difference µm,secondary transfer diagnostic with unavailable target oracle,secondary transfer diagnostic with unavailable target oracle,the target oracle is displayed only to quantify shift and is never available to a valid transferred model,4443a93216ebf3d30a575dc72764bac5bea41d00297a3448ef16dc5f22ad0b19,78395,1710,972,True,True,True
59,figures/59_p_vx_supported_binary_boundary_slice.png,figures/59_p_vx_supported_binary_boundary_slice.png,59_p_vx_supported_binary_boundary_slice.png,P-VX supported binary GPC boundary slice,Where does the descriptive binary GPC place P(Keyhole)=0.5 inside observed support?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,W; m/s; probability,descriptive/oracle surface; not held-out and unavailable to acquisition,descriptive/oracle surface; not held-out and unavailable to acquisition,"LS=62.16 µm, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask",d944006ec008f4aee9a628fd4ed465e74ffedee6c90c6942b5cf8f8b5bd8a3c5,205917,1494,1134,True,True,True
60,figures/60_p_vx_supported_max_depth_boundary_slice.png,figures/60_p_vx_supported_max_depth_boundary_slice.png,60_p_vx_supported_max_depth_boundary_slice.png,P-VX supported maximum-depth GPR boundary slice,Where does the descriptive maximum-depth surface cross the full-common oracle threshold?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,W; m/s; maximum depth µm,descriptive/oracle surface; not held-out and unavailable to acquisition,descriptive/oracle surface; not held-out and unavailable to acquisition,"LS=62.16 µm, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; the full-common scalar threshold is an unavailable oracle reference",6f18ae27266a1445a00fd923c157489cff6222f0ac873208a2bab8257ff4e8c5,210642,1494,1134,True,True,True
61,figures/61_p_vx_binary_max_depth_boundary_overlay.png,figures/61_p_vx_binary_max_depth_boundary_overlay.png,61_p_vx_binary_max_depth_boundary_overlay.png,P-VX supported Binary/Max-Depth boundary overlay,Do the two descriptive boundary formulations place their contours in the same supported region?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,W; m/s,descriptive/oracle comparison; not held-out,descriptive/oracle comparison; not held-out,"LS=62.16 µm, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; contour proximity is visual and does not replace held-out q20/q30 evidence",5af3f16c89d8242ac48f78fc2b111439112a9aa81a1154ce6b52453cb63da032,215499,1494,1134,True,True,True
62,figures/62_p_vx_binary_max_depth_disagreement_map.png,figures/62_p_vx_binary_max_depth_disagreement_map.png,62_p_vx_binary_max_depth_disagreement_map.png,P-VX supported Binary/Max-Depth disagreement map (6.5%),Which supported cells are assigned to different regimes by the two descriptive formulations?,boundary_surface_data.csv;boundary_disagreement_summary.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,W; m/s; regime category,descriptive/oracle disagreement; not held-out,descriptive/oracle disagreement; not held-out,"LS=62.16 µm, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; cell fractions depend on the displayed grid and must not be treated as physical domain volume",aa54bfb22bdaf76b9a8e838ce70bc95c8ca8eead0d9c6a1f2839729af2d88165,205455,1494,1134,True,True,True
63,figures/63_p_ls_supported_binary_boundary_slice.png,figures/63_p_ls_supported_binary_boundary_slice.png,63_p_ls_supported_binary_boundary_slice.png,P-LS supported binary GPC boundary slice,Where does the descriptive binary GPC place P(Keyhole)=0.5 inside observed support?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,W; µm; probability,descriptive/oracle surface; not held-out and unavailable to acquisition,descriptive/oracle surface; not held-out and unavailable to acquisition,"VX=0.6358 m/s, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask",7d6ddcfdb906b1972ae577b45d5b0e523be18b185c2ff93766ac8ad3654eee7f,194741,1494,1134,True,True,True
64,figures/64_p_ls_supported_max_depth_boundary_slice.png,figures/64_p_ls_supported_max_depth_boundary_slice.png,64_p_ls_supported_max_depth_boundary_slice.png,P-LS supported maximum-depth GPR boundary slice,Where does the descriptive maximum-depth surface cross the full-common oracle threshold?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,W; µm; maximum depth µm,descriptive/oracle surface; not held-out and unavailable to acquisition,descriptive/oracle surface; not held-out and unavailable to acquisition,"VX=0.6358 m/s, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; the full-common scalar threshold is an unavailable oracle reference",666a09e9ba8ab4e0873bc29fbc8e0569eadb9733778b7b2d91425927a6f4718f,208600,1494,1134,True,True,True
65,figures/65_p_ls_binary_max_depth_boundary_overlay.png,figures/65_p_ls_binary_max_depth_boundary_overlay.png,65_p_ls_binary_max_depth_boundary_overlay.png,P-LS supported Binary/Max-Depth boundary overlay,Do the two descriptive boundary formulations place their contours in the same supported region?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,W; µm,descriptive/oracle comparison; not held-out,descriptive/oracle comparison; not held-out,"VX=0.6358 m/s, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; contour proximity is visual and does not replace held-out q20/q30 evidence",c1c8f7c8f5713229792e1248d0c06d02aef233031596988d1dd07311a9570c3a,203631,1494,1134,True,True,True
66,figures/66_p_ls_binary_max_depth_disagreement_map.png,figures/66_p_ls_binary_max_depth_disagreement_map.png,66_p_ls_binary_max_depth_disagreement_map.png,P-LS supported Binary/Max-Depth disagreement map (7.1%),Which supported cells are assigned to different regimes by the two descriptive formulations?,boundary_surface_data.csv;boundary_disagreement_summary.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,W; µm; regime category,descriptive/oracle disagreement; not held-out,descriptive/oracle disagreement; not held-out,"VX=0.6358 m/s, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; cell fractions depend on the displayed grid and must not be treated as physical domain volume",ce37c1f2fdf2991f75fd51d1ac127eb7e9ee0861aa83494ce5f34fb45c947540,195131,1494,1134,True,True,True
67,figures/67_vx_ls_supported_binary_boundary_slice.png,figures/67_vx_ls_supported_binary_boundary_slice.png,67_vx_ls_supported_binary_boundary_slice.png,VX-LS supported binary GPC boundary slice,Where does the descriptive binary GPC place P(Keyhole)=0.5 inside observed support?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,m/s; µm; probability,descriptive/oracle surface; not held-out and unavailable to acquisition,descriptive/oracle surface; not held-out and unavailable to acquisition,"P=193.4 W, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask",11f0c4208e021eb9b067cff87fae62cdf9ea0f1e405f1b6e64df046ec54b32d4,191961,1494,1134,True,True,True
68,figures/68_vx_ls_supported_max_depth_boundary_slice.png,figures/68_vx_ls_supported_max_depth_boundary_slice.png,68_vx_ls_supported_max_depth_boundary_slice.png,VX-LS supported maximum-depth GPR boundary slice,Where does the descriptive maximum-depth surface cross the full-common oracle threshold?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,m/s; µm; maximum depth µm,descriptive/oracle surface; not held-out and unavailable to acquisition,descriptive/oracle surface; not held-out and unavailable to acquisition,"P=193.4 W, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; the full-common scalar threshold is an unavailable oracle reference",f5f46e5efd639600b6578d4ac060e4d883bed69b0b8de47b99c98430b6d6f1ab,204739,1494,1134,True,True,True
69,figures/69_vx_ls_binary_max_depth_boundary_overlay.png,figures/69_vx_ls_binary_max_depth_boundary_overlay.png,69_vx_ls_binary_max_depth_boundary_overlay.png,VX-LS supported Binary/Max-Depth boundary overlay,Do the two descriptive boundary formulations place their contours in the same supported region?,boundary_surface_data.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,m/s; µm,descriptive/oracle comparison; not held-out,descriptive/oracle comparison; not held-out,"P=193.4 W, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; contour proximity is visual and does not replace held-out q20/q30 evidence",5e55025588a4c0e6ef0d37e38ad2ed20f2230fdf472809043453b1c5996f7ee6,194908,1494,1134,True,True,True
70,figures/70_vx_ls_binary_max_depth_disagreement_map.png,figures/70_vx_ls_binary_max_depth_disagreement_map.png,70_vx_ls_binary_max_depth_disagreement_map.png,VX-LS supported Binary/Max-Depth disagreement map (4.9%),Which supported cells are assigned to different regimes by the two descriptive formulations?,boundary_surface_data.csv;boundary_disagreement_summary.csv;primary_common_population.csv,full 405-row Binary/Max-Depth common population,m/s; µm; regime category,descriptive/oracle disagreement; not held-out,descriptive/oracle disagreement; not held-out,"P=193.4 W, ST=349.3 K; descriptive full-common fit, not held-out; 2D projection of a 4D problem; grey cells fail the 4D convex-hull and/or nearest-neighbour support mask; cell fractions depend on the displayed grid and must not be treated as physical domain volume",3e95654fbcd3365edb3b241b2d3b3124f0a64feeaf717eda8496ff88ecc58d60,196098,1494,1134,True,True,True
71,figures/71_representative_acquisition_trajectory_binary_best.png,figures/71_representative_acquisition_trajectory_binary_best.png,71_representative_acquisition_trajectory_binary_best.png,Binary best q20-AULC trajectory: primary_common__r03_f04,"What did the deterministically selected representative run query, and how boundary-near were those points?",active_learning_aulc_summary.csv;active_query_history.csv,training pool of matched run primary_common__r03_f04; method binary uncertainty repulsion,P W; VX m/s; standardized 4D boundary distance; query count,active query history; held-out q20 AULC used only for post-hoc representative selection,active query history; held-out q20 AULC used only for post-hoc representative selection,"P–VX is only a projection of a 4D acquisition; manual label, max depth, and empirical boundary distance were hidden before each query; best/median/worst selection is descriptive, not an independent test",d67d6dc1c9eaf4464a2d4d0f0332d5308344edf504aa7802ff6569ad00e43ff7,299942,2340,1044,True,True,True
72,figures/72_representative_acquisition_trajectory_binary_median.png,figures/72_representative_acquisition_trajectory_binary_median.png,72_representative_acquisition_trajectory_binary_median.png,Binary median q20-AULC trajectory: primary_common__r04_f01,"What did the deterministically selected representative run query, and how boundary-near were those points?",active_learning_aulc_summary.csv;active_query_history.csv,training pool of matched run primary_common__r04_f01; method binary uncertainty repulsion,P W; VX m/s; standardized 4D boundary distance; query count,active query history; held-out q20 AULC used only for post-hoc representative selection,active query history; held-out q20 AULC used only for post-hoc representative selection,"P–VX is only a projection of a 4D acquisition; manual label, max depth, and empirical boundary distance were hidden before each query; best/median/worst selection is descriptive, not an independent test",0551e2a518862ebdeb10518664664509a14291e31dd4b0ced71408088dfc50c8,299045,2340,1044,True,True,True
73,figures/73_representative_acquisition_trajectory_binary_worst.png,figures/73_representative_acquisition_trajectory_binary_worst.png,73_representative_acquisition_trajectory_binary_worst.png,Binary worst q20-AULC trajectory: primary_common__r03_f01,"What did the deterministically selected representative run query, and how boundary-near were those points?",active_learning_aulc_summary.csv;active_query_history.csv,training pool of matched run primary_common__r03_f01; method binary uncertainty repulsion,P W; VX m/s; standardized 4D boundary distance; query count,active query history; held-out q20 AULC used only for post-hoc representative selection,active query history; held-out q20 AULC used only for post-hoc representative selection,"P–VX is only a projection of a 4D acquisition; manual label, max depth, and empirical boundary distance were hidden before each query; best/median/worst selection is descriptive, not an independent test",c299515cf9b9d84763754f04c8dd354129d68cdeea22bfaa456d5512270575de,294590,2340,1044,True,True,True
74,figures/74_representative_acquisition_trajectory_max_depth_best.png,figures/74_representative_acquisition_trajectory_max_depth_best.png,74_representative_acquisition_trajectory_max_depth_best.png,Max Depth best q20-AULC trajectory: primary_common__r01_f04,"What did the deterministically selected representative run query, and how boundary-near were those points?",active_learning_aulc_summary.csv;active_query_history.csv,training pool of matched run primary_common__r01_f04; method max depth straddle,P W; VX m/s; standardized 4D boundary distance; query count,active query history; held-out q20 AULC used only for post-hoc representative selection,active query history; held-out q20 AULC used only for post-hoc representative selection,"P–VX is only a projection of a 4D acquisition; manual label, max depth, and empirical boundary distance were hidden before each query; best/median/worst selection is descriptive, not an independent test",d1b95087d92a626485a5eab30df70c212b76cab14a8f599ba8bfa82b41d0c747,303825,2340,1044,True,True,True
75,figures/75_representative_acquisition_trajectory_max_depth_median.png,figures/75_representative_acquisition_trajectory_max_depth_median.png,75_representative_acquisition_trajectory_max_depth_median.png,Max Depth median q20-AULC trajectory: primary_common__r03_f03,"What did the deterministically selected representative run query, and how boundary-near were those points?",active_learning_aulc_summary.csv;active_query_history.csv,training pool of matched run primary_common__r03_f03; method max depth straddle,P W; VX m/s; standardized 4D boundary distance; query count,active query history; held-out q20 AULC used only for post-hoc representative selection,active query history; held-out q20 AULC used only for post-hoc representative selection,"P–VX is only a projection of a 4D acquisition; manual label, max depth, and empirical boundary distance were hidden before each query; best/median/worst selection is descriptive, not an independent test",5cd7a9fb0aea64a80d08a69e8a589ea6e41de0085fe063115f065b292d28ecfa,309072,2340,1044,True,True,True
76,figures/76_representative_acquisition_trajectory_max_depth_worst.png,figures/76_representative_acquisition_trajectory_max_depth_worst.png,76_representative_acquisition_trajectory_max_depth_worst.png,Max Depth worst q20-AULC trajectory: primary_common__r04_f03,"What did the deterministically selected representative run query, and how boundary-near were those points?",active_learning_aulc_summary.csv;active_query_history.csv,training pool of matched run primary_common__r04_f03; method max depth straddle,P W; VX m/s; standardized 4D boundary distance; query count,active query history; held-out q20 AULC used only for post-hoc representative selection,active query history; held-out q20 AULC used only for post-hoc representative selection,"P–VX is only a projection of a 4D acquisition; manual label, max depth, and empirical boundary distance were hidden before each query; best/median/worst selection is descriptive, not an independent test",9c4928bb0aeb88fe4039a01bd7415cf6776d59457e25d6c8e343d3e572d07b51,309188,2340,1044,True,True,True
77,figures/77_phase6_formulation_scorecard.png,figures/77_phase6_formulation_scorecard.png,77_phase6_formulation_scorecard.png,Phase 6 Binary versus Max-Depth formulation scorecard,"How do the two formulations compare across the predeclared global, boundary, threshold, subgroup, and transfer evidence?",phase6_formulation_scorecard.csv,primary common benchmark plus explicitly secondary robustness analyses,criterion-specific stored values,evidence synthesis; held-out/descriptive/oracle status inherited per criterion,evidence synthesis; held-out/descriptive/oracle status inherited per criterion,heterogeneous criteria must not be averaged blindly; the final decision follows the declared evidence rule rather than one attractive metric,969125c61d9d3fd38d66001478c62c3ea05e49e71852693e48e2d36a601cafa0,99516,1710,900,True,True,True
78,figures/78_final_phase6_decision_summary.png,figures/78_final_phase6_decision_summary.png,78_final_phase6_decision_summary.png,Final Phase 6 real-data boundary formulation decision,What exactly should the thesis carry forward after the matched Phase 6 evidence?,phase6_final_decision.csv;phase6_formulation_scorecard.csv,primary common benchmark with declared secondary robustness evidence,categorical predeclared decision,evidence-based Phase 6 synthesis; no Phase 7 claim; not itself held-out/descriptive/oracle performance,evidence-based Phase 6 synthesis; no Phase 7 claim; not itself held-out/descriptive/oracle performance,the manual annotation remains the reference; no scalar threshold is a universal physical constant and no causal claim is made,5f8c68488fc4679c22392f8329908676e96e1558396cfc187c7ae4276cd086d2,83483,2160,1044,True,True,True
79,figures/79_phase6_validation_requirement_dashboard.png,figures/79_phase6_validation_requirement_dashboard.png,79_phase6_validation_requirement_dashboard.png,Phase 6 validation and requirement dashboard,"Did the saved run satisfy its predeclared leakage, reproducibility, artifact, notebook, and figure requirements?",validation_results.csv;requirement_checklist.csv,29 validation checks and 15 requirement rows,check count,completion audit; no scientific performance inference; not itself held-out/descriptive/oracle performance,completion audit; no scientific performance inference; not itself held-out/descriptive/oracle performance,"a PASS dashboard verifies implementation consistency, not the truth of a physical interpretation",c303ae211ef70ff9b3fc2db81292b3b7ede9ebca3ea9db965fa305e14719a5f2,65114,1980,936,True,True,True
